nom,val
0,NA
BLANK,NA
S5-10,0.6379080750684434
S5-11,0.5259338786437234
S5-12,1.0588787839972675
S5-13,1.1434286296692655
S5-14,0.6429574793565842
S5-15,0.5681308094390112
S5-16,0.7080355900433009
S5-17,0.7283870830474307
S5-18,0.7066308014175315
S5-19,0.3972175192507137
S5-2,0.870239662874268
S5-20,0.947731228050123
S5-21,0.5742792386814877
S5-22,0.711772316555594
S5-23,1.1445944737548064
S5-24,0.5734327472680331
S5-25,0.6102478986275256
S5-26,0.8449979793526583
S5-27,0.7337830642428725
S5-28,0.8363937273889883
S5-29,0.48704777394493837
S5-3,0.7466178504740072
S5-30,0.8818605664227609
S5-31,1.0765373738850512
S5-32,0.9159355988034017
S5-33,0.46569914727925843
S5-34,1.079515534491838
S5-35,0.5171047825076263
S5-36,0.9558416255557783
S5-37,1.0060588923516987
S5-38,0.9631198595936196
S5-39,0.9453794578995163
S5-4,1.168400182363731
S5-40,0.5745255504094579
S5-41,0.6220046701879246
S5-5,1.0868675542691333
S5-6,0.8352368719113638
S5-7,1.1752183822197608
S5-8,0.9855963715526828
S5-9,1.004665128273189
étalon 0,NA
étalon 1,NA
étalon 2,NA
étalon 3,NA
