nom;val
S1_10;4.012755175690256
S1_11;2.9924103856755924
S1_12;1.6649651024377086
S1_13;4.264394180847933
S1_14;6.038235693482641
S1_15;2.665148105936531
S1_16;2.78212392405209
S1_17;3.3240129902282027
S1_18;2.5974481826637885
S1_19;4.731913550192232
S1_2;1.1691376039012662
S1_20;2.9821659441782646
S1_21;2.605412974210144
S1_22;4.830334359735621
S1_23;4.782112708190737
S1_24;3.026529267117905
S1_25;3.7356283488306614
S1_26;4.690780723866895
S1_27;1.081781900159583
S1_28;2.7881649659524896
S1_29;1.173189859186633
S1_3;5.522533232465147
S1_30;3.4799720263071747
S1_31;1.7592899251506924
S1_32;1.8978027166166307
S1_33;2.9332874708582186
S1_34;4.236434561470872
S1_35;3.8684817603366546
S1_36;2.787476673492567
S1_37;2.478059167997566
S1_38;4.3258042436687205
S1_39;4.630487072005774
S1_4;3.303907860318226
S1_40;2.959185191798351
S1_5;1.0764861952340157
S1_6;3.9508998159091426
S1_7;3.3460579083003736
S1_8;2.5833713590387104
S1_9;3.0672502225843354
blank;-0.11108938213661008
control;1.429373865428682
étalon 0;NA
étalon 1;NA
étalon 2;NA
étalon 3;NA
