sample,Dim.1,Dim.2,Dim.3,cluster,cc
24-AE4-Ca-Mar-11:50:03,0.17812997971994066,12.946422785599076,-0.5997790477864979,4,4-2
38-AE2-Qu-Mar-11:49:29,5.3155360577303625,6.557485684567985,0.5616554395434151,4,4-12
57-AE2-Qu-Mar-11:49:18,14.007813758622044,8.181987850969536,0.012658664078175851,1,1-15
51-E2-Ca-Mar-11:26:17,1.9101510408753466,11.850308965646047,-0.36646898407484646,4,4-24
58-E4-Ca-Mar-10:56:29,5.46699589352423,13.452889601100726,-0.24166257677813238,4,4-7
32-E4-Ca-Mar-10:55:43,1.8970993043721305,16.532012562345756,-0.9067775379822164,4,4-11
48-E4-Ca-Mar-10:40:35,11.150148737269758,15.447233169353753,-0.25038004648785384,1,1-11
5-E2-Qu-Feb-15:16:25,5.99702811847292,3.162340928659179,-0.2987777247301978,4,4-17
24-AE4-Ca-Feb-15:08:19,1.938473921439486,6.20446646415755,-0.11071448705794115,4,4-13
72-E1-Ca-Feb-15:08:08,-0.6300858954634494,8.683129903994718,-0.5008947383980398,4,4-4
7-E4-Ca-Feb-15:07:45,6.578343432995247,10.214254436978315,-0.5266664669708397,4,4-14
23-AE2-Fa-May-14:35:55,17.844006999665755,13.354947548438552,-1.590891690403029,1,1-7
49-AE4-Be-May-14:25:15,-13.487065779111706,-17.44832853943419,-2.551601309247014,3,3-13
57-AE2-Qu-May-14:19:36,10.20891280995705,3.9659269821797007,-0.9036636743935689,1,1-3
54-A2-Ac-May-14:18:42,-10.2003247766116,-22.63056293761791,-0.73392143497115,3,3-18
53-A4-Pr-May-14:13:29,2.206249453310344,-14.752806357518972,-0.8020223684177983,3,3-12
27-E1-Be-May-14:12:56,-10.398289256216593,-18.80108223270584,-1.9312003027727642,3,3-15
31-A1-Pr-May-14:12:45,-4.441811091285155,-16.83858198493949,-0.6208284005480345,3,3-4
48-E4-Be-May-13:58:36,-9.311784278033565,-19.32007427011581,-1.9902210637719637,3,3-9
5-E2-Be-May-13:58:25,-20.651085736086404,-20.025642770895836,-2.4984937459474605,3,3-11
51-E2-Ca-May-13:58:02,-13.000725409605826,-20.156337493105088,-0.42851009814512175,3,3-8
23-AE2-Ae-May-13:57:39,9.275007095497152,-10.651227055665247,0.5940436154863706,1,1-4
50-A1-Ae-May-12:02:26,7.064178519375286,-8.8705308491525,0.2573463220076769,3,3-16
48-E4-Be-Nov-12:02:16,-19.60376287711732,1.7086500208983944,-0.33866863727717783,2,2-19
34-E4-Ti-Nov-12:01:53,-12.496571067515239,4.667866039768005,0.744106273796978,2,2-8
48-E4-Fa-Nov-11:53:22,22.10161619190798,9.853303276614513,-0.01237820858270005,1,1-6
64-A2-Pr-Nov-11:42:14,-22.602869019887248,1.5181666948140145,0.8315840029255955,2,2-1
38-AE2-So-Nov-11:21:05,-24.679515282829612,3.6264453945702795,-0.06658902541712032,2,2-25
1-AE2-Ti-Nov-11:20:31,-3.2124929024842723,2.882087301045305,1.3953358657467168,4,4-10
61-A1-Fr-Nov-11:13:09,-29.387564400026392,18.03079718189258,-1.8727462462178908,2,2-11
