"block","plotID","plotName","tree_species_richness","mycorrhizal_type","composition","trapID","contaminants","trap_condition","month","div","blk","myc","sr","sr_myc","month1","species","dryweight","dryweight_corr"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.178,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.178,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.178,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.178,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.178,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Prunus.avium",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.178,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.178,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.178,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Tilia.platyphyllos",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.757,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.757,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.757,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.757,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.757,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.757,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.757,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Prunus.avium",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.757,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.757,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0.757,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Tilia.platyphyllos",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.087,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.087,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.087,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.087,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.087,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.087,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.087,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Prunus.avium",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.087,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.087,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.087,"ok","2023-04",2,1,"AM + EM",2,"2_AM + EM","April","Tilia.platyphyllos",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.057,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.057,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.057,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.057,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Carpinus.betulus",NA,NA
